[meta] uuid,White (Caucasian),North African / Middle Eastern,Asian (includes Indian),Hispanic or Latino,Black,Other
ad7fe030-a068-0134-cc9b-0a62e1402143,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
d56a9180-9d5a-0134-6a77-0aaafcbd6b1f,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
042a6630-a21a-0134-a536-0a62e1402143,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
168439a0-a08b-0134-b485-0a62e1402143,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
3422fae0-9fa4-0134-72c1-0a62e1402143,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
ed0d3290-9de3-0134-f096-0a62e1402143,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
bd9032c0-9f6c-0134-e1cd-0a62e1402143,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
4a047ea0-9d58-0134-abf0-0aaafcbd6b1f,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
c57dae60-9f66-0134-8003-0a62e1402143,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
663ba180-a0cc-0134-7b51-0aaafcbd6b1f,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
bba2ae70-9f97-0134-6319-0a62e1402143,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
4388ea50-a1b1-0134-3a22-0a62e1402143,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
b8df4a60-9d63-0134-b8ea-0aaafcbd6b1f,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
aae95720-a114-0134-4601-0aaafcbd6b1f,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
badf0690-a15f-0134-bc7e-0aaafcbd6b1f,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
d9904610-a105-0134-415e-0aaafcbd6b1f,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
c4f8cfe0-9d59-0134-98a4-0aaafcbd6b1f,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
e404b630-9f81-0134-e854-0aaafcbd6b1f,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
